Title,Year,Age,Rating,Netflix,Hulu,Prime Video,Disney+
The Irishman,2019,18+,98/100,1,0,0,0
Dangal,2016,7+,97/100,1,0,0,0
David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0
Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0
Roma,2018,18+,94/100,1,0,0,0
To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0
The Social Dilemma,2020,13+,93/100,1,0,0,0
Okja,2017,13+,92/100,1,0,0,0
The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0
The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0
Article 15,2019,18+,92/100,1,0,0,0
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0
Dolemite Is My Name,2019,18+,92/100,1,0,0,0
Mudbound,2017,18+,91/100,1,0,0,0
Swades,2004,all,91/100,1,0,0,0
Fyre,2019,18+,91/100,1,0,0,0
Miss Americana,2020,18+,90/100,1,0,0,0
Virunga,2014,16+,90/100,1,0,0,0
Black Friday,2004,18+,90/100,1,0,0,0
Talvar,2015,7+,90/100,1,0,0,0
The King,2019,18+,90/100,1,0,0,0
John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0
I Am Mother,2019,13+,89/100,1,0,0,0
Tell Me Who I Am,2019,18+,89/100,1,0,0,0
The Departed,2006,18+,89/100,1,0,0,0
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0
Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0
I Lost My Body,2019,18+,89/100,1,0,0,0
Django Unchained,2012,18+,89/100,1,0,0,0
The Half of It,2020,13+,89/100,1,0,0,0
The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0
The Devil All the Time,2020,18+,89/100,1,0,0,0
The Fundamentals of Caring,2016,18+,89/100,1,0,0,0
Pieces of a Woman,2020,18+,88/100,1,0,0,0
Gerald's Game,2017,18+,88/100,1,0,0,0
On Body and Soul,2017,,88/100,1,0,0,0
Shutter Island,2010,18+,88/100,1,0,0,0
Always Be My Maybe,2019,13+,88/100,1,0,0,0
The Intouchables,2011,7+,88/100,1,0,0,0
Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0
Special 26,2013,,87/100,1,0,0,0
Kiss the Ground,2020,18+,87/100,1,0,0,0
Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0
Extraction,2020,18+,87/100,1,0,0,0
No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0
Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0
His House,2020,16+,87/100,1,0,0,0
Super Deluxe,2019,18+,87/100,1,0,0,0
The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0
A Secret Love,2020,18+,87/100,1,0,0,0
The Night Comes for Us,2018,18+,87/100,1,0,0,0
The Big Lebowski,1998,18+,87/100,1,0,0,0
Pad Man,2018,13+,87/100,1,0,0,0
American Factory,2019,13+,86/100,1,0,0,0
Bird Box,2018,18+,86/100,1,0,0,0
The Pianist,2002,18+,86/100,1,0,0,0
3 Idiots,2009,13+,86/100,1,0,0,0
The Distinguished Citizen,2016,,86/100,1,0,0,0
A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0
A Clockwork Orange,1971,18+,86/100,1,0,0,0
What Happened to Monday,2017,18+,86/100,1,0,0,0
Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0
The White Helmets,2016,16+,86/100,1,0,0,0
Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0
Happy as Lazzaro,2018,13+,85/100,1,0,0,0
Chasing Coral,2017,,85/100,1,0,0,0
Kal Ho Naa Ho,2003,all,85/100,1,0,0,0
